,dominant_topic,text
10390,trump,Hispanic Republican household member receives letter from @realDonaldTrump. @HillaryClinton pic plays with neurons. https://t.co/6cpb680ei6
10391,trump,@SenatorRonbo @realDonaldTrump @myhlee nobody believes a word he says totally unprepared to be president =a dangerous clown
10392,trump,#MSNBC #Trump to appear on Russian owned tv network?
10393,trump,@realDonaldTrump https://t.co/rNMc0P5fKK
10394,hillary,They are no longer. They learn on a  College campus that political correctness is more important than truth https://t.co/sPHeeUjvdF
10395,trump,"@HillaryClinton Yes, Putin Stronger Leader Obama is Mierda Weak LeaderTruman gave us N.K.Democ.have screw up USA."
10396,hillary,My kind of Barbie 😍🇺🇸🇺🇸🇺🇸 https://t.co/AHsC792mYU
10397,trump,"Hoorah for TRUMP!
@realDonaldTrump 
@RogerJStoneJr 
@DickMorrisTweet 
@newtgingrich 
@KatrinaPierson https://t.co/vZdrfwHHXa"
10398,trump,@realDonaldTrump https://t.co/xGuEf0H0zF
10399,trump,👍🏼 https://t.co/mphau5OeFL
10400,hillary,The Hillary Clinton Americans will do everything it takes to put Trump in the W.H. and keep you out for good.. @hillaryclinton
10401,hillary,Ridiculous. He didn't even mention the tubes.  https://t.co/YgxZcc32nz
10402,hillary,@wikileaks proves @HillaryClinton LIED 2 the @fbi: https://t.co/9f1BaS5g2N #trumptrain #dnc #cnn #nbc #pjnet #tgdn https://t.co/NlI30IvBs4
10403,hillary,.@wsj @time @nytimes @newsweek @theeconomist @reuters @usatoday @politico @LorettaLynch @HillaryClinton @timkaine https://t.co/YXxxeZRu60
10404,trump,How about impeachment for POTUS? https://t.co/yZMpU9VgRe
10405,trump,"@realDonaldTrump 
Really hard to believe the truth from a Medialibtard network came through.
Great job Donald!"
10406,hillary,@owillis @missb62 #Hillary That because he an his Neo -Nazi friends
10407,trump,Another example of media bias against @realDonaldTrump. Every question is loaded. The American ppl deserve better.  https://t.co/5Zd7ND0OWr
10408,hillary,"UNHR chief lumps #Trump with likes of #LePen, #Farage  &amp; other European radical populists in fueling hate/bigotry. https://t.co/Qcma2XgZuP"
10409,trump,How great is this? #NeverTrump https://t.co/WZv6QuZ9BZ
10410,hillary,@realDonaldTrump Comey and FBI purposely gave immunity to 2 IT guys of Hilary’s to assure a criminal went free “Hilary” Totally Rigged
10411,hillary,"@mmfa hmm considering he is not the one who broke the law ,he is not relevant to @HillaryClinton crimes ?"
10412,trump,@realDonaldTrump  Even Princess Diana who u apparently hv said u met knew a FRAUD when she met 1 #Lyin'Donny https://t.co/TpS1vSchqI
10413,trump,#RapeCharge #Pervert #Evangelicals #Christians #Catholics #HITLER @realDonaldTrump #DonTheCon #RepublicanParty  https://t.co/Njv1fIcjTH
10414,hillary,"@HillaryClinton ISIS thanks you, Hillary, for violating the first rules of any battle - you SHOULD NOT tell them what you will or won't do!"
10415,hillary,@realDonaldTrump FBI gives immunity to Hilary’s IT personal to protect Hilary from prosecution. The FBI becomes accomplices and enabler.
10416,hillary,"We have made  ""#HERSTORY""with @HillaryClinton #HillaryClinton in this 21st Century #ImWithHer for 1st  Madam #POTUS https://t.co/vpdVqnFfSc"
10417,trump,@PlaysTrumpCard @buckiles @YoungDems4Trump @HillaryClinton I think you mean #Dummies4trump
10418,hillary,"@johntheos @mcuban @TexDolly @WayneDupreeShow @HillaryClinton I called Ted Nugent a toolbox, to his face. 

So what?"
10419,hillary,Why would this surprise he's such a pathological liar it's scary &amp; MSM lets him get away with it every time SMH 🐞 https://t.co/hgL4Qp4tM8
10420,trump,@HillaryClinton @realDonaldTrump @HillaryForNY @hillaryforwash @HFA @HillaryforOH @HillaryforVA @HillaryforPA  https://t.co/KwXr4J5h6S
10421,hillary,.@MomsDemand @ChelseaClinton An asset to @HillaryClinton in our quest to pass #CommonSenseGunLaw Met her in #SRQ https://t.co/pNKXGbKEj0
10422,trump,@kentpg how else could he get away with wearing @HillaryClinton #PantSuits
10423,trump,@realDonaldTrump THE MANCHURIAN CANDIDATE aka DONALD TRUMP &amp; SNOWDEN!
10424,trump,"""dont say that dont say that""😂😂 https://t.co/4AAFZanJQv"
10425,trump,"leader #KKK &amp;Gov #NewJersey endorsed #neverTrump in same week,  makes @WhiteHouse transition leader ,#Bridgegate https://t.co/Gp2Jqqvat4"
10426,hillary,"@CREDOMobile @2sense2 @HillaryClinton 
good one!!! Hold her to her so called ""WORD"" @HAGOODMANAUTHOR @ActualFlatticus @shitHRCsays"
10427,trump,"Did you forget, we have an election coming up!
@realDonaldTrump 
@KatrinaPierson 
@DickMorrisTweet 
@newtgingrich https://t.co/xByWKvGudB"
10428,hillary,@HillaryClinton @POTUS why are u silent on this? #NoDAPL #IStandWithStandingRock ancient burial grounds @HLNTV https://t.co/TYBonBbAaX
10429,trump,@HillaryClinton yes! So nervous when I hear Trump s voice and want to scream when I hear surrogates lie!
10430,trump,@JustTheFactsNJ @realDonaldTrump @CNN It's only still an allegation because Donnie hasn't said it yet!
10431,trump,"leader #KKK &amp;Gov #NewJersey endorsed #neverTrump in same week,  makes him @WhiteHouse transition leader https://t.co/Uax6jrs2uQ. #Bridgegate"
10432,hillary,@realDonaldTrump campaign manager just got thumped on @CBSThisMorning by Charlie Rose! OMG she couldn't answer a single question!
10433,trump,"""Delusional Shit Head"", ""Bombastic Ass Hole"", Mr. ""Agent Orange"": @realDonaldTrump Outright Lied Through His Teeth About His Intel Briefing!"
10434,trump,@JenGranholm @lmrazo22 @CharlesMBlow @HillaryClinton @realDonaldTrump Same media Trump trashed in interview w/arry King for Russian TV.
10435,trump,@politico @realDonaldTrump Haha ... could it be generals don't want to defer to the executive branch of power?
10436,hillary,Yay https://t.co/qcfVeuzGIc
10437,trump,"And, unfortunately we know him! #NeverTrump https://t.co/QLO66qSHMD"
10438,hillary,#DavidDuke Endorses Donald #neverTrump in New Louisiana Robocall https://t.co/iYGVN4NIr3 … … … … … … … via @democracynow....
10439,hillary,Is Tide Going Out on Hillary? | RealClearPolitics https://t.co/Pklsw073lT #NeverHillary #Trump2016 #HillarysEmails #Hillary #TrumpPence2016
10440,hillary,"Next time an ""artist"" asks for donations keep this in mind
#NeverHillary never ever #CrookedHillary
#Trump #MAGA https://t.co/5ZN6Y3w3jR"
10441,hillary,"Shh...
It's a Secret
What?  Are you in the Secret Service or What Dude?
#Trump #Secret 
🤔

cc: #HFA"
10442,hillary,@WhiteHouse @POTUS You are a POS! American dollars to fund your buddy terrorist friends! 33.6 billion $$ in Total'' Impeach! Treason! #MAGA
10443,hillary,"@HillaryClinton debates should include all running for office, include Stein"
10444,trump,@realDonaldTrump = #AgentOrange!
10445,trump,TOO RIDICULOUS ALREADY HAVE WE NO LAWFUL GOVT RIGHT NOW? TRUMP IS RIGHT &amp; I THINK WILL WIN A LANDSLIDE! POLLS RIGGED https://t.co/7PzljHoFn7
10446,trump,@realDonaldTrump re debate: the one thing u must demonstrate in all three...personal discipline. How fast u can learn is 2nd.
10447,trump,#Trump said that https://t.co/uddzmVBuzD
10448,trump,@RepJasonChaffetz needs to investigate @realdonaldtrump's cozy relationship with Russia. U investigate everything Democratic. #NEVERGOP
10449,trump,"#Trump in 2016 Temp:Crab Orchard, Ky."":76.6°F Wind:0.0mph Pressure: 30.09hpa Rising slowly Rain Today 0.00in.  Forecast: Settled fine"
10450,trump,@rickklein @michaelpfalcone WHAT IS DIFFERENCE BETWEEN @HillaryClinton WANTING TO RESET THE RELATIONSHIP FOR THE BETTER 8yrs ago and TRUMPS
10451,hillary,@MichaelL0302 unleash it #ImWithHer https://t.co/6HP0vRNzNS
10452,hillary,@HillaryClinton @PortiaABoulger @POTUS why ru silentonthis? #IStandWithStandingRock ancient burial grounds #NoDAPL https://t.co/XeKFseOAbL
10453,trump,@Parker9_ @realDonaldTrump Take away the crying and they're left with...what?
10454,trump,How can anyone vote 4 this idiot! They have NO foreign policy?! Morons! All they can do is point fingers? No answers https://t.co/BDmcPdZPN2
10455,trump,@hughhewitt @ron_fournier . Hugh you are incompetent for supporting a racist/bigot @realDonaldTrump. You support him and that meansyouareto
10456,hillary,@HillaryClinton does she know and approve of this. https://t.co/TfkrzOaptw
10457,hillary,@AndrewWMarshall @HillaryClinton would think anyone who is a parent would be strongly against that but I guess not
10458,hillary,@DJT4WhiteHouse I saw this coming and see @realDonaldTrump winning the election. How can anyone trust #crookedHillary .... we don't. #MAGA 💯
10459,trump,"@morningmoneyben @maxasteele @KellyannePolls @realDonaldTrump @politico The ""He's gotten all he can out of this"" calculation"
10460,trump,@HavanaTed weird hairdo @realDonaldTrump will also ban #sarcasm like his funny haircut idol #KimJongUn
10461,trump,@FBI a disgrace: planned 2 let @HillaryClinton get away w/breaking security laws: https://t.co/e9RFNbxG5P #trump #maga @TGowdySC #pjnet#tgdn
10462,hillary,@realDonaldTrump that wasn't a commander in chief Forum it was a Matt Lauer bend over and kiss your butt forum!
10463,trump,"@LOLGOP If #Trump can be ""tricked"" by an old man in suspenders how is he going to handle his home boy #Putin"
10464,trump,Goes to show how stupid her handlers are.  That was a TERRIBLE C.I.C. appearance.  Go @realDonaldTrump  #MAGA https://t.co/j5LpuEo2Uf
10465,trump,@JayandSteve @marcylauren @politicususa @realDonaldTrump @HillaryClinton TRUMPS EXTREME PHOBIA OF STRONG INTELLIGENT WOMEN IS WELL KNOW.
10466,trump,@rickwtyler Dont understand his praise of Putin..we all know he's a KGB thug who still murders people who offend him @realDonaldTrump ...
10467,trump,I just got around to watching @NBCNews #CommanderInChiefForum - All I can say is that #MattLauer was extremely biased. #CrookedHillary #MAGA
10468,trump,@realDonaldTrump @CNN https://t.co/kAsf13KADB
10469,hillary,@justinamash @DonaldJTrumpJr @HillaryClinton   LOL. Isn't that the truth.  Hillary is such a liar
10470,trump,@jtblogs @IvankaTrump   Donald J. Trump would be a remember to the #American people why we should not trust #Globalist #PayToPlay #Hillary
10471,trump,This guy is a Navy P-3 TACCO. He's on target. #veterans #veterans4trump #NeverHillary #ClintonCash #MAGA https://t.co/Sq50U1o1yx
10472,trump,.@seterapia  .@HillaryClinton #TrumpNewJerseyGenerals #NewHerseyGenerals #TrumpFailedNewJerseryGenerals  #TrumpUSFL https://t.co/lSy9GMMgLM
10473,trump,"@realDonaldTrump Unfortunately, not by enough of the media, objectivity is not one of our current media's strong suits!"
10474,hillary,Si @realDonaldTrump demoniza a mexicanos en EEUU es simplemente porque les tiene miedo. ¡De lo que serían capaces si se organizaran!
10475,hillary,"@MikePenceVP @P0TUSTrump @HillaryClinton Johnson asked ""What is Aleppo?"" like it was a new strain of killer weed he hadn't heard about."
10476,hillary,"Yep #CongressesShame needs to GET BUSY ON #ClintonCorruption
#LyingHillary #NeverHillary #MAGA https://t.co/Mbnt2bfpHg"
10477,trump,Gawd I can't wait for @realDonaldTrump to get his ass kicked by a girl. He is a plight on our country. #NeverTrump
10478,trump,"#WakeUpVirginia nobody wants #HillaryClinton &amp; @timkaine !
#MakeAmericaGreatAgain 🇺🇸 https://t.co/qjX3b5MeP6"
10479,trump,@realDonaldTrump has NO foreign policy! And will let #Putin take the lead!No Answer for North Korea! @CBSThisMorning https://t.co/FkLRe0UyqO
10480,hillary,@HillaryClinton you've in politics 4 most of ur life &amp; ur still learning from ur mistakes. Ur 2 old &amp; been around 2 long 2 be ignorant
10481,hillary,@realDonaldTrump @CNN you don't like it cause it tells the truth about you!
10482,hillary,@politico @HillaryClinton @anniekarni This lead in is where and why i will unfollow Politico and never RT them
10483,hillary,@HillaryClinton here are the peaceful refugees you want to bring here. https://t.co/c92RzGDkm7
10484,hillary,@thehill they didn't do much work with his scant 7 policies ....but what a crook to stiff the little people as usual  @realDonaldTrump
10485,trump,@realDonaldTrump not interested #lyingdonnie
10486,trump,💩@HillaryClintonにAmen👑@POTUS @realDonaldTrump💪頑張って下さい🌏@UN @AbeShinzo素直になれ🙏 @XHNews @IsraeliPM @RRD_Davao👍tulog*sakto https://t.co/xDgWAxyaVA
10487,hillary,@johntheos @HillaryClinton @mcuban @TexDolly @WayneDupreeShow My point is that Comey name-calling his critics is irrelevant. Which it is.
10488,trump,@HillaryClinton https://t.co/hEoIMY5wJw https://t.co/9cVijYjIHO
10489,trump,@igordelija @FormOfTheGood @Always_Trump @POTUS @realDonaldTrump Bama &amp; press crucified Bush for Katrina fly over.POTUS IS A hypocrite.
10490,trump,@realDonaldTrump https://t.co/NoLOunoCUI
10491,hillary,"@TomFitton @Judgenap @JudgeJeanine @stranahan But, if she loses, Pres Trump &amp; AG Giuliani Will serve justice-&gt;CLINTONS #CrookedHillary"
10492,hillary,Bad move Hillary.  https://t.co/EHCTHBtBr6
10493,hillary,The #Media under fire 4 rallying to #TheHillaryClinton #HillaryJima #UniteBlue #iMwITHhER #2016ELECTION #msm #MAGA https://t.co/ZMkwMVJn6G
10494,trump,"@realDonaldTrump open debates show real candidates , make it challenging for people to think, dare you"
10495,trump,"@KingV44159517 nah, thats propagandist bullshit, mine is reality @friendindex @realDonaldTrump @CNN"
10496,trump,"Not as slick as #CrookedHillary but actually cares about USA
#NeverHillary never ever
#NoMoreClintons
#Trump #MAGA https://t.co/wQ0LhUFiFs"
10497,hillary,@CarolCNN No sense talking facts to a blowhard bully-liar like @JoeBorelliNYC who defends the biggest fraud in politics @realDonaldTrump
10498,trump,@jeffr1972 Seems as though your ugly to the core. How sad...I'll pray for you..😊. #MAGA
10499,trump,@HillaryClinton https://t.co/RJrunHlyLt
10500,hillary,Your funny. Obama has been such a success. Hillary (Obama 2). Will continue that great record. Really? https://t.co/4bGqZMyp1z
10501,hillary,Taking the office of Sec of State seriously would have been a good start.  #MAGA #TrumpTrain  https://t.co/RROVWcplJW
10502,trump,@sean_p_thomas said it right!  https://t.co/uCMnScMOJe
10503,trump,@realDonaldTrump @CNN btw you're the joke!
10504,trump,@EricTrump @fox8news @StefaniSchaefer @realDonaldTrump https://t.co/eYbwJRHQ5C
10505,trump,Yea verily. https://t.co/MMJXy7O7tp
10506,hillary,"@JoeBorelliNYC ONLY A @realDonaldTrump CAMPAIGN WOULD @KellyannePolls SEND BORELLI TO DEBATE ""WOMENS OVERHELMING SUPPORT FOR CLINTON ON @CNN"
10507,hillary,"The MSM &amp; Liberals have tried to pin the Iraq war support on @realDonaldTrump, he refused to accept it and they are mad as hell @AJDelgado13"
10508,trump,@realDonaldTrump https://t.co/gun2sDcoAD
10509,trump,@HillaryClinton #dccc #naacp #BlacksforTrump https://t.co/sv3qL2rDHS
10510,trump,"⚡️ ""What you need to know Friday""
.@realDonaldTrump 2nd best dictator buddy!
https://t.co/bw8GhkzaGn"
10511,trump,"“When fascism [@realDonaldTrump] comes to America, it will be wrapped in the flag [Make America Great Again] and carrying a cross” -S. Lewis"
10512,hillary,@HillaryClinton  What about the pipelines and fracking? Earthquakes and lead in water?  Do our grankids matter with that?
10513,trump,The MSM &amp; Liberals have tried to pin the Iraq war support on @realDonaldTrump he refused to accept it &amp; they are mad as hell @KellyannePolls
10514,trump,"#msnbc @jasoninthehouse approves #trump, sez not that Putin is so strong, but that @POTUS is so weak (also HRC to blame)
#GOP_Derangement."
10515,trump,@RealJamesWoods @Laneybaby004 @realDonaldTrump @NBCNews @DJT4WhiteHouse DJT is our next President! The silent majority will stand. #MAGA 💯
10516,trump,@HillaryClinton #dnc #cnn #blm https://t.co/oFrTWrCRqU
10517,hillary,I'm ready 4 a woman President.. #imwithher
10518,trump,"@realDonaldTrump So desperate! Now Bill Clinton says ""Make America Great again"" is a racist code for the South shall rise again. #Pathetic"
10519,hillary,"Yep #CrookedHillary is DEEP In #ClintonCorruption
#CriminalBehavior
#NeverHillary #MAGA https://t.co/7Irt7gtLgX"
10520,hillary,"@realDonaldTrump @CNN 

You can't remember your own ghost writer? Interesting, and you call Clinton out on memory issues."
10521,trump,@realDonaldTrump @CNN https://t.co/WhsTefL0Kq
10522,trump,@realDonaldTrump @CNN https://t.co/V9ZakuWcof
10523,trump,@timkaine - sir @realDonaldTrump DOES NOT KNOW HIS HEAD FROM HIS ASSHOLE.  https://t.co/ZrcRpcqRV3
10524,hillary,"And STILL with 100% less coughing and corruption!
Vote for #Trump!
Or use the BUY NOW feature with #CrookedHillary! https://t.co/BsKKirgHd7"
10525,trump,@JohnRMoffitt @PatriciaFritz4 @Fahrenthold @realDonaldTrump Yeah! It's about time he releases his taxes. What is he hiding?👺👺👺😂😂😂
10526,trump,Clearly ur a fool who votes against her own best interests. I'll stop whining when you read a book  https://t.co/iRpYfmZPKg
10527,trump,"@realDonaldTrump In Pgh. Post-Gazette today re: Gretchen Carlson, they quote snide comment you made RE: women sexually harassed at work!"
10528,trump,"@danmericaCNN This is great, but @HillaryClinton has to get them to come out publicly on the MSM and speak about her qualifications."
10529,hillary,"Yet #Trump views #climatechange as a hoax! What happens when your house burns or floods?
#MakeAmericaGreatAgain  https://t.co/oBa2aLRjgw"
10530,trump,How can we trust #trump to be a strong decisive leader in a crisis when after over a year to choose positions on issues he is still lost??
10531,trump,@realDonaldTrump https://t.co/fVOslHDq9L
10532,hillary,@jasoninthehouse PLEASE investigate @HillaryClinton again U will insure her election. That 11 hr hearing was the best TV ever! #Landslide
10533,trump,Democratic senators anxious that #HillaryClinton trailing behind #DonaldTrump are giving her advice -- Be more open &amp; show your soul
10534,trump,@realDonaldTrump https://t.co/5dPQw0KEiU
10535,trump,@seanhannity @HillaryClinton @realDonaldTrump @SebGorka https://t.co/XiPkK9rbIM
10536,hillary,#Hillary attempting to bare her soul instead explains why she doesn't have one.  https://t.co/P2A6nVCVnI
10537,hillary,#CommanderInChiefForum showed us many things - #CrookedHillary wore an ear piece - #Trump won based on facts. #liar https://t.co/JRWtJCwPEa
10538,trump,"I am in this crowd, but out of frame to the left 😭 https://t.co/T4GIHQFrb1"
10539,hillary,"And they will continue as it is on their agenda. Don't waste time, effort &amp; energy in it as they won't change. https://t.co/jS5stO0qLN"
10540,trump,Speechless over #Trump &amp; #Pence bolstering up #Putin not to mention #Trump immature hinting of what he was privy to in  his briefing docs.
10541,trump,"So @HillaryClinton is now having press conferences- the ""now"" being since she got to hand pick a private jet full of journalists."
10542,trump,@rolandsmartin @realDonaldTrump. Completely  !!
10543,hillary,took time out of busy schedule to talk to young student. speaks VOLUMES! Trump is for children's education &amp; future. https://t.co/t9zcG8ceV9
10544,hillary,PROTECT THIS COUNTRY FROM GOP! They LIE Instead of LEAD! They are ALL ABOUT 💰! #DumpGOP  #DumpTrump #VoteBlue 🗳🇺🇸
10545,trump,@realDonaldTrump Can you ever say NO COMMENT? Ailes was not THAT great to you at FOX for you to take his side! You don't know! NOT SMART!
10546,hillary,@terrymendozer @HillaryClinton All Americans should know the full story of Benghazi! Read the book or see the movie! https://t.co/I0az2NH9hG
10547,trump,"@realDonaldTrump @Summer25Koch #hillary's excuse for those stamped, ""classified"" ?"
10548,hillary,"AM,IkeepASKING whatdoWEtell ourChildren/GrandChildren aboutBLATANT LIES @HillaryClinton TELLS?

""Oh,it'sOK4adults2LIE""?

Whathypocrites weR!"
10549,hillary,Stupidity she will shut it down. https://t.co/YQB7sHnJeJ
10550,hillary,"I don't watch MSM, thanks 4 letting me know about documentary. I'll look it up. Dumbass! #amateurhour #DumpTrump  https://t.co/oH5pIMP0yr"
10551,hillary,Yep #MissingHistory  Hiding under years of Progressive Lies #MAGA https://t.co/36gzwmn2Ri
10552,trump,@Politics1com @SopanDeb let's hear him say it #trump
10553,trump,"@realDonaldTrump 

What was the question.......who lies the most?"
10554,trump,Don't until @realDonaldTrump releases his taxes and we find out for sure that he hasn't paid in years.Trump=Racist.  https://t.co/esZkRIJfC9
10555,hillary,"#Trump just makes up these ""fantastic"" stories &amp; who will be the suckers to actually believe him. #YourVoteYourResponsibility"
10556,trump,"@realDonaldTrump You do such great things and I get upset at the media and fight with everyone to defend you, BUT YOU DO THIS TO YOURSELF!"
10557,hillary,"@realDonaldTrump, Buhari summons Editors to BRIBE them 2 help him report LIES against BIAFRA https://t.co/ylyQwiM9mq https://t.co/c9E6zvo1qY"
10558,hillary,-- @billclinton @hillaryclinton when your polls are dropping like rocks.. play the race card. The Hillary Clinton https://t.co/EX28Ah69gw
10559,hillary,"""The Hillary Clinton"" #Trump #Trump2016 
How can #Hillary keep forgetting Benghazi and her lies about the video? https://t.co/5Kkg84WY5D"
10560,hillary,Yep #CrookedHillary has #PocketsfullofBloodMoney #NeverHillary #MAGA https://t.co/y1opCmf59j
10561,hillary,"How the #FBI went easy on #Hillary #Clinton

https://t.co/uN8huwRQ4u https://t.co/R2BIBS7LLn"
10562,trump,#hilliaryearpiece #trump #Trump2016 https://t.co/oJ61wXXx6U
10563,hillary,"@solidstomak @HillaryClinton A federal override would have to be in place. In any case, there is no saving coal."
10564,trump,@realDonaldTrump is jealous of the size of Putin's.......poll
10565,trump,#HillaryClinton have to fight #DonaldTrump n the complete media as time n again from primary till now Media is soft on Mr.Trump #USElection
10566,trump,@POTUS🎭GOD🇺🇸LOVES👉🏿@realDonaldTrump https://t.co/qB85zoxGXr @washingtonpost @JeffBezos @amazon @nypost @nytimes @WSJ @FoxNews @latimes @CNN
10567,trump,@HillaryClinton Republicans declared all men are equal so @TheDemocrats started the KKK! https://t.co/9NoeKDMubJ https://t.co/yWPuaXvQmE
10568,trump,Flamboyant not brilliant you doofus @realDonaldTrump little man.  https://t.co/0XEQ3ASoie
10569,hillary,When did NC go leftist?! Jeez.  https://t.co/yrJq7C33h5
10570,hillary,@jeffr1972 haha. Actually I'm a buddhist....#correction #MAGA
10571,trump,@JeremiahRappel #HillaryClinton https://t.co/r3G4oqCJwQ
10572,trump,@JSavoly #DumpTrump
10573,hillary,@GucciShade @seanhannity @HillaryClinton @realDonaldTrump @SebGorka you kiddin rt?why cover all that with a nasty shirt you wanna show them
10574,hillary,@billclinton  #MAGA means get rid of people like you who hold back minorities AND everyone else! #CrookedClintons
10575,hillary,@GOP Electing @realDonaldTrump is a desperate attempt to keep Hillary out of the White House.  NOBODY in the Trump camp has a clue. SMH
10576,trump,@NPRinskeep @NPR @realDonaldTrump @BraddJaffy he hasnt done this yet?  Everyone listens to NPR nationwide!! I wonder why not?
10577,trump,"@realDonaldTrump Ailes does have history of sexually harassment of female employess, O'Reilly too! Andrea Tantaros has case against him too!"
10578,hillary,I'm flabbergasted at the immense corruption within Obama Admin &amp; State Dept! WTF is Congress doing? How did it get this bad? We need #Trump
10579,trump,If this doesn't get your attention.. Wake the fuck up #nevertrump   https://t.co/8GKE5vgi1i
10580,hillary,@StgeorgeCharlie @scottienhughes @realDonaldTrump Scottie even more beautiful in person and a truly sweet and classy lady. #DontBeAhater
10581,trump,@GucciShade @seanhannity @HillaryClinton @realDonaldTrump @SebGorka take it off please much more interesting in whats behind it
10582,hillary,"@SusanSarandon @PortiaABoulger 
@billmckibben
@HillaryClinton this is your #FlintWaterCrisis moment.
Hurry before Trump notices!"
10583,hillary,"One was a shitty President and the other, if elected, would bring the end of the Union. https://t.co/yEQdcwQ4Ls"
10584,trump,@HillaryClinton @realDonaldTrump its vice versa so she accuses him of what she is guilty of.
10585,trump,I'd much rather a president who didn't know about #Aleppo than @realDonaldTrump who admires the thugs like Putin &amp; Assad who created it
10586,trump,"Really, with the crisis in Obamacare, why aren't the Dems pushing a fix. No real policy agenda. Just bashing. Evil, evil people. #MAGA VOTE!"
10587,trump,@jasoninthehouse SUPPORTS THE MANCHURIAN CANDISATE @realDonaldTrump
10588,trump,"Yes Trump really appreciates,  loves and respects our VETS...NOT! https://t.co/MfaONlF3oq"
10589,hillary,"@realDonaldTrump U didnt know Forum was been televised in Russia, wow thats stupity.The world is connected &amp; thats not your own little world"
10590,trump,"@realDonaldTrump go trump God is with u, Hillary is a loser and I will celebrate ur victory with introducing ""Trump"" champagne in Nigeria"
10591,trump,"#Trump in 2016 Temp:Crab Orchard, Ky."":76.8°F Wind:0.0mph Pressure: 30.12hpa Rising Rain Today 0.00in.  Forecast: Settled fine"
10592,trump,"@LizMair @VanJones68 @realDonaldTrump has never been in touch with reality, he is just a Street performer so bazar you can't turn away."
10593,hillary,"@maleydj @mmfa @HillaryClinton espionage law ,just because a corrupt James Comey and Loretta Lynch didn't charge her don't make her innocent"
10594,trump,"@realDonaldTrump 
President Obama thinks before he bombs. Donald Trump would bomb before he thinks-uh oh too late! His arrogance is too much"
10595,hillary,"""Listen"" to inspector that Elijah Cummings was given top secret info and didn't share that info with committee   https://t.co/2Hjh9i1IAM"
10596,hillary,"@BuhByeGOP @NYDailyNews but he only hires the best people ! Does @realDonaldTrump know what "" best"" means?  #russiantv"
10597,trump,"@realDonaldTrump Nevertheless, if asked, just say NO COMMENT! You don't know if it is true or not, why defend these men not so good to you?"
10598,hillary,@HillaryClinton Most corrupt and incompetent individual to ever run for President Habitual liar.US Army lists as her as a threat to security
10599,trump,#Trump won't apologize for his Birtherism because he wants to have the benefit of his racist cake and eat it too.  https://t.co/RkS9HclxCe
10600,trump,@realDonaldTrump #cnn Far easier to be strong leader when you don't have a congress who is allowed to disagree with you. #ChecksAndBalances
10601,hillary,"@realDonaldTrump This is a totally RIGGED ELECTION, FBI &amp; DOJ &amp; White House are public ACCOMPLICES. WE ARE 3RD WORLD NOW"
10602,trump,@HillaryClinton https://t.co/3lJ21JvjJg
10603,trump,Wake up America! #NeverTrump #northkorea #NuclearTest https://t.co/lEOjlIXugn
10604,trump,@ZaibatsuNews #TrumpNewJerseyGenerals #NewJerseyGenerals #TrumpUSFL #Trump own generals some record! https://t.co/FVz7sCoJXz
10605,trump,"@realDonaldTrump is a human, with a good heart. vote."
10606,trump,@frankgaffney @SebGorka @realDonaldTrump @seanhannity https://t.co/USbq0OxOuJ
10607,trump,@TeamTrump @ABC @YouTube WHY NO TWEETS ABOUT BJC COMMENTS ON #MAGA. WHO THINKS LIKE HIM? A RACIST THAT'S WHO. @LouDobbs @GOP @rushlimbaugh
10608,trump,@RepChaffetz Stench of lying racist @realDonaldTrump will taint u 4ever.As mormon u shud knw better.@HillaryClinton will b elected despite u
10609,hillary,@DumbDonald666 @nathanTbernard @HillaryClinton Good one!!
10610,trump,@JeremiahRappel #HillaryClinton #ColinPowell https://t.co/7nxDSWbDTN
10611,trump,"Yes, and @charlierose stopped Kellyanne Conway on @CBSThisMorning. @timkaine was great too Some reality! @FlipItDem  https://t.co/QwnojcDALd"
10612,trump,@maleydj @mmfa @HillaryClinton https://t.co/757kPBj4dx
10613,hillary,@BestBuy @HillaryClinton Say first Wolf Spider Under This Houe.   1 FT from  nose Bigger Fhan .50 Money old
10614,trump,@realDonaldTrump #KingTelepromter
10615,trump,"@HillaryClinton  @realDonaldTrump  @cnn  @MSNBC  @FoxNews  @abc  
JUST KNOW....After ALL...this TALK to African Americans, WE EXPECT CHANGE!"
10616,hillary,I love when I mature from raping someone 😋😋😋😋 https://t.co/ZYDfWlpDeu
10617,hillary,"@realDonaldTrump You are now winning and looking so good, but frankly, sometimes you would be better off golfing! Control your mouth!"
10618,trump,"@realDonaldTrump 
Sorry, I'm with her, the rational one. You are both deceptive but at least she is smart."
10619,hillary,If @realDonaldTrump demonizes Mexicans in USA is 'cause his fears them. What could Mexicans achieve if they fight for their rights/dignity.
10620,trump,@MSNBC @realdonaldtrump did not go on Russian run T.V. he talked to Larry King. #spinmasters
10621,hillary,@SMShow @stutteringjohnm You know life's gone to #crap when it takes this to bring you back behind @realDonaldTrump! https://t.co/x3snDnVQ2c
10622,trump,@realDonaldTrump #KingTelepromter
10623,trump,@Always_Trump @realDonaldTrump USA FIRST! DJT our next President! Inhialate #crookedHillary #MAGA #TrumpTrain #TrumpPence16 👍 💯
10624,hillary,@FoxNews @SebGorka @BarackObama @HillaryClinton Hell! Obama IS Isis! Sleeper cell purposely planted in the WH. Obvi from day 1!
